DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4295172;1;3;1;10;1;1; ; ;17;9;6;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;7;03;70;966,223481236996
4295172;1;4;1;10;1;2;5;2001;15;9;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;03;70;966,223481236996
4295172;1;5;1;10;1;1; ; ;13;9;6;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;03;70;966,223481236996
4295172;1;6;1;10;1;1;8;2005;11;9;6;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;03;70;966,223481236996
4295173;1;1;1;10;1;1;12;1937;79;1;2;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;03;70;774,459003511761
4295173;1;2;1;10;2;2;7;1937;79;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;774,459003511761
4295173;1;3;1;10;3;1;12;1996;20;4;6;1; ; ;3; ; ;2;1;2; ;6;1;3; ;2;12;03;70;774,459003511761
4295174;1;1;1;10;1;1;12;1976;40;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;70;854,740459806454
4295174;1;2;1;10;2;2;5;1986;30;2;2;1; ; ;3; ; ;2;1;2; ;5;10;1; ;2;10;03;70;854,740459806454
4295174;1;3;1;10;2;1;6;2002;14;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;03;70;854,740459806454
4295174;1;4;1;10;2;1;8;2006;10;3;6;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;03;70;854,740459806454
4295174;1;5;1;10;2;1;2;2009;8;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;03;70;854,740459806454
4295174;1;6;1;10;2;2;11;2010;6;3; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;0;03;70;854,740459806454
